,Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,coordinates,latitude,longitude
4912,1383752,"April 30, 2019",North Carolina,Charlotte,9214 South Library Ln,2,4,View Incident View Source,"35.305966, -80.730937",35.305966,-80.730937
4913,1381857,"April 28, 2019",Tennessee,Nashville,1407 Dr DB Todd Jr Blvd,0,7,View Incident View Source,"36.1719048, -86.80795069999999",36.1719048,-86.80795069999999
4914,1382099,"April 28, 2019",Alabama,Birmingham,514 19th St Ensley,0,4,View Incident View Source,"33.512937, -86.896118",33.512937,-86.896118
4915,1381979,"April 28, 2019",Maryland,Baltimore,2544 Edmondson Ave,1,7,View Incident View Source,"39.2949057, -76.6577434",39.2949057,-76.6577434
4916,1382711,"April 28, 2019",Ohio,West Chester,4637 Wyndtree Dr,4,0,View Incident View Source,"39.3506968, -84.46779839999999",39.3506968,-84.46779839999999
4917,1381771,"April 27, 2019",Mississippi,Jackson,700 block of Monterey St,1,3,View Incident View Source,"32.2763824, -90.22716559999999",32.2763824,-90.22716559999999
4918,1381273,"April 27, 2019",California,Poway,16934 Chabad Way,1,3,View Incident View Source,"33.0191414, -117.0531582",33.0191414,-117.0531582
4919,1381734,"April 27, 2019",California,Los Angeles,700 N San Fernando Rd,0,6,View Incident View Source,"34.0895046, -118.2263927",34.0895046,-118.2263927
4920,1377519,"April 21, 2019",Pennsylvania,Philadelphia,1500 block of South 31st St,0,4,View Incident View Source,"39.9352439, -75.19571560000001",39.9352439,-75.19571560000001
4921,1376873,"April 20, 2019",Tennessee,Memphis,761 Chestnut Ave,0,6,View Incident View Source,"35.1020499, -90.0373019",35.1020499,-90.0373019
4922,1376883,"April 19, 2019",Kansas,Wichita,1628 S George Washington Blvd,0,4,View Incident View Source,"37.6638747, -97.2999061",37.6638747,-97.2999061
4923,1375235,"April 18, 2019",Kentucky,Louisville,4000 block of Bells Ln,0,4,View Incident View Source,"38.2227219, -85.8223184",38.2227219,-85.8223184
4924,1373557,"April 16, 2019",Maryland,Germantown,18700 block of Curry Powder Ln,1,3,View Incident View Source,"39.162339, -77.264707",39.162339,-77.264707
4925,1370795,"April 14, 2019",Florida,Miami,NW 19th Ave and 60th St,2,2,View Incident View Source,"25.8297859, -80.2288686",25.8297859,-80.2288686
4926,1371024,"April 14, 2019",California,Vallejo,100 block of Princeton Ave,1,3,View Incident View Source,"38.1505918, -122.251364",38.1505918,-122.251364
4927,1371065,"April 14, 2019",California,Stockton,2539 E Main St,0,4,View Incident View Source,"37.9549561, -121.2509449",37.9549561,-121.2509449
4928,1374920,"April 13, 2019",California,Moreno Valley,23500 block of Alessandro Blvd,0,4,View Incident View Source,"33.9173401, -117.2524156",33.9173401,-117.2524156
4929,1370269,"April 12, 2019",Illinois,Carbondale,119 N Washington St,0,4,View Incident View Source,"37.728101, -89.2151068",37.728101,-89.2151068
4930,1368597,"April 11, 2019",Maryland,Baltimore,2200 block of Ruskin Ave,1,3,View Incident View Source,"39.31516390000001, -76.6479425",39.31516390000001,-76.6479425
4931,1369109,"April 11, 2019",California,Los Angeles,E 103rd St and S Main St,1,4,View Incident View Source,"33.9428494, -118.2738951",33.9428494,-118.2738951
4932,1369148,"April 11, 2019",Arizona,Phoenix,7112 W Minnezona Ave,3,2,View Incident View Source,"33.504031, -112.2121516",33.504031,-112.2121516
4933,1367011,"April 09, 2019",Missouri,Kansas City,5339 Michigan Ave,1,3,View Incident View Source,"39.029042, -94.56286569999999",39.029042,-94.56286569999999
4934,1365052,"April 07, 2019",North Carolina,Winston Salem (Winston-salem),515 N Cherry St,0,7,View Incident View Source,"36.1002292, -80.2470644",36.1002292,-80.2470644
4935,1365077,"April 07, 2019",Indiana,Indianapolis,3600 block of Roosevelt Ave,2,2,View Incident View Source,"39.8001297, -86.1052405",39.8001297,-86.1052405
4936,1365173,"April 07, 2019",Delaware,Wilmington,940 N Pine St,0,6,View Incident View Source,"39.7428375, -75.541532",39.7428375,-75.541532
4937,1365100,"April 07, 2019",Louisiana,Shreveport,433 Flournoy Lucas Rd,0,4,View Incident View Source,"32.390131, -93.7673114",32.390131,-93.7673114
4938,1364443,"April 06, 2019",Florida,Tallahassee,500 block of Kissimmee St,0,4,View Incident View Source,"30.4225982, -84.2896729",30.4225982,-84.2896729
4939,1364540,"April 06, 2019",Illinois,Chicago,6300 block of S Seeley Ave,0,6,View Incident View Source,"41.7793072, -87.6751244",41.7793072,-87.6751244
4940,1363737,"April 04, 2019",Florida,Panama City,100 block of Allen Ave,1,3,View Incident View Source,"30.146067, -85.6543447",30.146067,-85.6543447
4941,1362715,"April 04, 2019",Georgia,Stockbridge,300 block of Eagle Ct,3,2,View Incident View Source,"33.5269572, -84.2404131",33.5269572,-84.2404131
